index,area,perimeter,min_xpos,min_ypos,max_xpos,max_ypos,center_x,center_y,integral_CH0,min_CH0,max_CH0,ave_CH0,std_CH0,integral_CH1,min_CH1,max_CH1,ave_CH1,std_CH1,integral_CH2,min_CH2,max_CH2,ave_CH2,std_CH2,integral_CH3,min_CH3,max_CH3,ave_CH3,std_CH3,integral_CH4,min_CH4,max_CH4,ave_CH4,std_CH4,ch0_org_min,ch0_org_max,ch0_org_ave,ch0_org_std,ch1_dif_min,ch1_dif_max,ch1_dif_ave,ch1_dif_std,ch2_dif_min,ch2_dif_max,ch2_dif_ave,ch2_dif_std,ch3_dif_min,ch3_dif_max,ch3_dif_ave,ch3_dif_std,id,count12,frequency,tmu_timestamp,sort,n_total,n_sort,s_rate,proc_time,time_idt,id,abs_time,srs_img,fire1_img,fire2_img,fire3_img,proc_begin,proc_end,ch12_abs_time,id,ch12_cycles,frequency,ch12_timestamp,ch13_abs_time,ch13_cycles,ch13_timestamp,proc_end,sort_validation
0_11,111,49,21,6,43,15,31,10,3926,0,45,29.2985,7.66269,2760,0,31,20.597,5.42537,2848,0,32,21.2537,5.48905,4197,0,47,31.3209,7.54548,3436,0,37,25.6418,6.43382,0,44,7.69126,6.67303,0,16,1.62322,1.89862,0,16,3.20027,1.84496,0,11,4.57049,1.98015,63433,300000,50000000,1821159194,0,12,0,0.00,5222,--,63433,269906313,0,0,0,0,449,5222,-1543226435814404,63388,0,0,0,-1543226435814404,0,0,5190,0
0_12,109,49,22,6,44,15,32,10,3901,0,42,29.553,7.66072,2766,0,31,20.9545,5.97325,2835,0,31,21.4773,6.11564,4174,0,44,31.6212,7.62425,3416,0,36,25.8788,6.66178,0,40,7.73169,6.64121,0,14,1.59699,1.90201,0,13,3.1877,1.85042,0,11,4.54699,1.99637,63434,300000,50000000,1821638476,0,13,0,0.00,6524,--,63434,269975337,0,0,0,0,394,6524,256465837,63388,300000,50000000,1145719332,-1543226435814404,0,0,6078,0
0_13,98,45,22,7,43,14,32,10,3648,20,43,30.4,5.84437,2614,12,30,21.7833,4.32278,2687,11,31,22.3917,4.37473,3941,22,47,32.8417,5.97355,3225,18,38,26.875,5.01591,0,40,7.59918,6.50538,0,13,1.57923,1.83053,0,13,3.15628,1.83921,0,11,4.5929,2.0349,63435,300000,50000000,1825164901,0,14,0,0.00,4649,--,63435,269984915,0,0,0,0,443,4649,257156159,63389,300000,50000000,1180235111,-1543226435814404,0,0,5376,0
0_14,91,46,16,6,37,14,26,10,3365,0,42,29.7788,7.05695,2402,0,31,21.2566,4.9058,2458,0,32,21.7522,4.91977,3640,0,44,32.2124,7.27397,2971,0,36,26.292,5.96996,0,41,7.71011,6.56609,0,15,1.58798,1.80184,0,14,3.22158,1.83688,0,12,4.64781,2.04826,63438,300000,50000000,1862833477,0,15,0,0.00,5826,--,63438,270760018,0,0,0,0,404,5826,257269609,63390,300000,50000000,1185906007,-1543226435814404,0,0,6425,0
0_15,107,49,36,6,58,15,46,10,3791,0,42,29.1615,7.50057,2716,0,31,20.8923,5.65311,2771,0,30,21.3154,5.56505,4034,0,43,31.0308,7.1349,3318,0,36,25.5231,6.29678,0,40,7.43388,6.60545,0,15,1.67869,1.82545,0,13,3.33579,1.83532,0,12,4.71448,1.99922,63450,300000,50000000,2081108306,0,16,0,0.00,6678,--,63450,275067096,0,0,0,0,426,6678,257538893,63391,300000,50000000,1199371986,-1543226435814404,0,0,5668,0
0_16,110,51,29,6,52,15,40,10,3924,0,42,29.2836,7.65741,2780,0,31,20.7463,5.71028,2825,0,31,21.0821,5.52612,4306,0,44,32.1343,7.67803,3458,0,36,25.806,6.49969,0,41,7.77404,6.7563,0,14,1.6459,1.87732,0,14,3.33279,1.89626,0,12,4.60464,2.10911,63453,300000,50000000,2138921045,0,17,0,0.00,4698,--,63453,276308080,0,0,0,0,421,4698,257725815,63392,300000,50000000,1208716531,-1543226435814404,0,0,6582,0
0_17,107,47,29,6,50,15,38,10,3879,0,43,30.0698,7.70904,2746,0,31,21.2868,5.67217,2786,0,31,21.5969,5.57058,4241,0,45,32.876,7.6756,3414,0,37,26.4651,6.47721,0,42,7.79945,6.81682,0,15,1.66913,1.93093,0,15,3.32432,1.9668,0,13,4.63169,2.10357,63454,300000,50000000,2144041101,0,18,0,0.00,5038,--,63454,276330652,0,0,0,0,388,5038,258259900,63393,300000,50000000,1235421240,-1543226435814404,0,0,4689,0
0_18,107,48,21,6,43,15,31,10,3901,0,46,30.2403,7.10473,2733,0,32,21.186,5.08344,2780,0,31,21.5504,4.89417,4330,0,51,33.5659,7.39667,3438,0,38,26.6512,5.97235,0,45,7.87514,6.77136,0,17,1.60027,1.95399,0,17,3.3071,1.96811,0,11,4.56148,2.12821,63459,300000,50000000,2252722431,0,19,0,0.00,4700,--,63459,278540884,0,0,0,0,438,4700,258443936,63394,300000,50000000,1244623819,-1543226435814404,0,0,4664,0
0_19,103,49,48,6,70,15,58,10,3801,0,42,30.1667,6.99745,2697,0,30,21.4048,5.1581,2769,0,30,21.9762,5.16315,4150,0,45,32.9365,6.99177,3358,0,36,26.6508,5.95261,0,40,7.80464,6.73096,0,15,1.63005,1.8898,0,16,3.22568,1.86509,0,11,4.5623,2.03808,63472,300000,50000000,2501775417,0,20,0,0.00,4753,--,63472,283528907,0,0,0,0,479,4753,258630236,63395,300000,50000000,1253937428,-1543226435814404,0,0,4710,0
0_20,88,44,50,7,71,14,60,10,3283,16,42,30.1193,7.06552,2332,8,32,21.3945,5.30884,2377,8,32,21.8073,5.38513,3642,21,46,33.4128,7.50194,2902,13,37,26.6239,6.20268,0,41,7.9224,6.71268,0,14,1.62923,1.79068,0,14,3.26311,1.84269,0,12,4.68634,2.0681,63475,300000,50000000,2539884479,0,21,0,0.00,4700,--,63475,284344714,0,0,0,0,422,4700,258898862,63396,300000,50000000,1267369330,-1543226435814404,0,0,4703,0
0_21,112,49,51,6,73,15,61,10,4072,0,42,30.163,7.54758,2835,0,31,21,5.63981,2916,0,31,21.6,5.76477,4543,0,48,33.6519,7.97711,3594,0,37,26.6222,6.50227,0,42,8.25328,7.11564,0,14,1.72951,2.01675,0,14,3.29945,1.96984,0,11,4.65956,2.04551,63476,300000,50000000,2540367454,0,22,0,0.00,4621,--,63476,284350060,0,0,0,0,409,4621,259340092,63397,300000,50000000,1289429739,-1543226435814404,0,0,4694,0
0_22,111,49,37,6,59,15,47,10,3951,0,42,29.4851,7.56833,2797,0,31,20.8731,5.58572,2852,0,31,21.2836,5.65502,4370,0,44,32.6119,7.73045,3490,0,37,26.0448,6.53905,0,40,8.04863,6.87208,0,14,1.63115,1.89102,0,15,3.21967,1.91452,0,13,4.60301,2.06256,63480,300000,50000000,2569550341,0,23,0,0.00,4657,--,63480,284863833,0,0,0,0,398,4657,259633854,63398,300000,50000000,1304118672,-1543226435814404,0,0,4720,0
0_23,116,52,38,6,62,15,49,10,4166,0,43,29.7571,7.11525,2923,0,31,20.8786,5.23104,3000,0,31,21.4286,5.24696,4575,0,44,32.6786,7.08446,3661,0,36,26.15,5.9461,0,42,8.06202,6.92447,0,15,1.64754,1.98666,0,16,3.16257,1.95498,0,11,4.55328,1.98427,63481,300000,50000000,2570139370,0,24,0,0.00,3980,--,63481,284943336,0,0,0,0,428,3980,259855050,63399,300000,50000000,1315178835,-1543226435814404,0,0,4728,0
0_24,110,49,43,6,65,15,53,10,3907,0,42,29.3759,6.87548,2757,0,31,20.7293,5.05924,2843,0,30,21.3759,4.9518,4305,0,44,32.3684,7.04174,3460,0,36,26.015,5.83093,0,40,7.84126,6.70631,0,14,1.60656,1.86874,0,15,3.14781,1.86535,0,13,4.50738,2.07843,63483,300000,50000000,2585248353,0,25,0,0.00,6318,--,63483,285208281,0,0,0,0,430,6318,-1543226435814404,63400,0,0,0,-1543226435814404,0,0,5494,0
0_25,90,44,42,6,62,14,51,10,3064,0,42,27.6036,8.76344,2184,0,30,19.6757,6.38715,2266,0,31,20.4144,6.36356,3388,0,45,30.5225,9.13349,2728,0,36,24.5766,7.62352,0,40,7.62814,6.28814,0,13,1.51913,1.66986,0,13,3.10273,1.73547,0,12,4.50765,2.00932,63484,300000,50000000,2586282560,0,26,0,0.00,5555,--,63484,285257397,0,0,0,0,387,5555,260080582,63400,300000,50000000,1326452432,-1543226435814404,0,0,6078,0
0_26,100,47,40,6,62,14,50,10,3666,0,43,30.0492,6.27623,2663,0,31,21.8279,4.4403,2744,0,32,22.4918,4.59016,3925,0,46,32.1721,6.54955,3250,0,38,26.6393,5.39743,0,40,7.69754,6.54268,0,14,1.57104,1.78369,0,12,3.14918,1.76103,0,12,4.54863,2.0154,63490,300000,50000000,2633382153,0,27,0,0.00,6062,--,63490,286218674,0,0,0,0,419,6062,260727886,63401,300000,50000000,1358820250,-1543226435814404,0,0,4704,0
0_27,101,47,38,6,60,14,48,10,3707,0,43,30.1382,6.49493,2690,0,31,21.8699,4.65555,2779,0,33,22.5935,4.76067,3985,0,48,32.3984,6.60468,3290,0,38,26.748,5.47959,0,40,7.69809,6.54817,0,13,1.64344,1.78348,0,12,3.17869,1.76542,0,12,4.55383,2.00685,63492,300000,50000000,2643049941,0,28,0,0.00,5050,--,63492,286334689,0,0,0,0,439,5050,260797097,63402,300000,50000000,1362279815,-1543226435814404,0,0,4628,0
0_28,100,47,30,6,52,14,40,10,3669,0,41,30.0738,6.48222,2685,0,30,22.0082,4.43255,2750,0,31,22.541,4.79095,3984,0,45,32.6557,6.5846,3273,0,36,26.8279,5.45878,0,40,7.76503,6.64165,0,14,1.52322,1.78557,0,14,3.16475,1.79888,0,13,4.55109,2.11031,63494,300000,50000000,2664833790,0,29,0,0.00,4718,--,63494,286838228,0,0,0,0,428,4718,261327490,63403,300000,50000000,1388799386,-1543226435814404,0,0,4664,0
0_29,111,51,29,6,52,15,40,10,3886,0,41,28.7852,6.88141,2792,0,30,20.6815,5.35226,2876,0,30,21.3037,5.31005,4302,0,45,31.8667,6.97381,3465,0,35,25.6667,5.92921,0,40,7.77787,6.62147,0,14,1.5459,1.81894,0,14,3.1123,1.82131,0,11,4.54918,2.04633,63495,300000,50000000,2666891314,0,30,0,0.00,4602,--,63495,286849054,0,0,0,0,416,4602,261545356,63404,300000,50000000,1399691934,-1543226435814404,0,0,6674,0
0_30,100,46,31,8,52,15,40,10,3797,19,51,31.123,6.65986,2689,10,37,22.041,4.87617,2744,10,37,22.4918,4.88599,4138,21,56,33.918,7.16159,3340,16,45,27.377,5.76497,0,49,7.8918,6.88749,0,17,1.54945,1.91571,0,16,3.12459,1.89168,0,12,4.51776,2.09291,63496,300000,50000000,2671463722,0,31,0,0.00,4852,--,63496,286890228,0,0,0,0,442,4852,261658308,63405,300000,50000000,1405339592,-1543226435814404,0,0,4722,0
