index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_53,1203,0.0459525,-0.15608,0.13272,55.2809,-187.764,159.662,0.0912267,0.199168,0.165173,1
0_54,784,0.0654894,-0.20689,0.129296,51.3437,-162.201,101.368,0.149243,0.290385,0.201868,1
0_55,0,0,0,0,0,0,0,0,0,0,0
0_56,1008,0.0644783,-0.231657,0.14537,64.9941,-233.511,146.533,0.135612,0.285739,0.184089,1
0_57,667,0.124105,-0.301899,0.11615,82.7783,-201.367,77.4723,0.207825,0.440929,0.252854,0
0_58,529,0.0617383,-0.111029,0.0308506,32.6596,-58.7343,16.32,0.107113,0.242302,0.112718,0
0_59,983,0.0357829,-0.078199,0.0244236,35.1746,-76.8696,24.0084,0.0681622,0.130666,0.0536286,0
0_60,334,0.0473375,-0.0417603,0.022362,15.8107,-13.9479,7.4689,0.0614211,0.229823,0.0876606,0
0_61,0,0,0,0,0,0,0,0,0,0,0
0_62,748,0.157378,-0.2287,0.0577214,117.719,-171.068,43.1756,0.263571,0.438752,0.222465,0
0_63,889,0.0884581,-0.29287,0.168585,78.6393,-260.362,149.872,0.171128,0.35999,0.231707,1
0_64,1111,0.0416099,-0.118503,0.0857858,46.2286,-131.657,95.308,0.0899816,0.203209,0.143285,1
0_65,995,0.0821555,-0.201832,0.0913167,81.7447,-200.823,90.8601,0.172164,0.30574,0.194305,0
0_66,0,0,0,0,0,0,0,0,0,0,0
0_67,621,0.0539783,-0.0662585,0.0196488,33.5205,-41.1465,12.2019,0.0711028,0.164678,0.0778902,0
0_68,0,0,0,0,0,0,0,0,0,0,0
0_69,886,0.110913,-0.145957,0.0510313,98.2692,-129.318,45.2138,0.147094,0.26157,0.134129,0
0_70,0,0,0,0,0,0,0,0,0,0,0
0_71,257,0.00500824,0.0521897,-0.0089572,1.28712,13.4128,-2.302,0.0316934,0.206021,0.0873855,0
0_72,46,-0.0235011,-0.0286865,-0.00212798,-1.08105,-1.31958,-0.097887,0.218415,0.272749,0.233234,0
0_73,730,0.107898,-0.209638,0.0937482,78.7652,-153.035,68.4362,0.200031,0.366218,0.23668,0
0_74,24,-0.0513256,-0.1259,0.102676,-1.23181,-3.02159,2.46421,0.215816,0.326475,0.267797,0
0_75,831,0.154805,-0.207378,0.0713069,128.643,-172.331,59.2561,0.219324,0.430924,0.213192,0
0_76,653,0.183129,-0.373318,0.105719,119.583,-243.777,69.0344,0.264812,0.476747,0.250219,0
0_77,921,0.0997242,-0.118927,0.0320696,91.846,-109.532,29.5361,0.127856,0.239915,0.119907,0
0_78,0,0,0,0,0,0,0,0,0,0,0
0_79,167,-0.00367708,0.0951187,-0.0414165,-0.614072,15.8848,-6.91655,0.0872366,0.268559,0.101318,0
0_80,755,0.12603,-0.138434,0.0479251,95.1523,-104.518,36.1835,0.181049,0.303186,0.156226,0
0_81,962,0.11299,-0.176594,0.0560927,108.697,-169.883,53.9612,0.167094,0.284455,0.165565,0
0_82,0,0,0,0,0,0,0,0,0,0,0
0_83,432,0.042515,-0.0782446,0.0146821,18.3665,-33.8017,6.34268,0.0673911,0.176358,0.065185,0
0_84,0,0,0,0,0,0,0,0,0,0,0
0_85,856,0.150722,-0.288866,0.0890812,129.018,-247.27,76.2535,0.217547,0.370461,0.196601,0
0_86,659,0.187586,-0.324768,0.0830654,123.619,-214.022,54.7401,0.234958,0.397025,0.213919,0
0_87,1089,0.18194,-0.370759,0.116542,198.133,-403.757,126.914,0.233639,0.411714,0.224165,0
0_88,616,0.0533458,-0.122199,0.0534594,32.861,-75.2747,32.931,0.0811865,0.195377,0.101498,0
0_89,771,0.0171678,-0.0570628,0.0540469,13.2363,-43.9955,41.6702,0.0491164,0.160397,0.082851,1
0_90,669,0.0403193,-0.0703806,0.0447505,26.9736,-47.0846,29.9381,0.0682894,0.189153,0.117468,0
0_91,0,0,0,0,0,0,0,0,0,0,0
0_92,831,0.171765,-0.311012,0.0813756,142.736,-258.451,67.6231,0.255038,0.442952,0.239819,0
0_93,0,0,0,0,0,0,0,0,0,0,0
0_94,1088,0.0593664,-0.143969,0.116021,64.5907,-156.638,126.231,0.111979,0.253163,0.182992,1
0_95,763,0.203098,-0.310117,0.108307,154.964,-236.619,82.6386,0.260324,0.480443,0.268475,0
0_96,411,0.00785225,0.00860019,-0.00692644,3.22727,3.53468,-2.84677,0.0537734,0.160848,0.0557055,0
0_97,897,0.12067,-0.202606,0.0624104,108.241,-181.738,55.9822,0.159998,0.284824,0.146391,0
0_98,974,0.0749,-0.108875,0.0454351,72.9526,-106.044,44.2538,0.128391,0.320581,0.168466,0
0_99,834,0.145315,-0.146484,0.0420814,121.192,-122.168,35.0959,0.206609,0.350128,0.198492,0
0_100,811,0.0695125,-0.102862,0.0314148,56.3746,-83.4207,25.4774,0.0866554,0.172963,0.0926726,0
0_101,735,0.171064,-0.276802,0.0549763,125.732,-203.45,40.4076,0.275165,0.458891,0.231435,0
0_102,0,0,0,0,0,0,0,0,0,0,0
0_103,751,0.0833572,-0.193208,0.106741,62.6012,-145.099,80.1628,0.168993,0.332176,0.215239,1
0_104,1170,0.130526,-0.166147,0.0513634,152.715,-194.392,60.0952,0.202848,0.375232,0.20627,0
0_105,919,0.158032,-0.205459,0.0850181,145.231,-188.817,78.1317,0.202445,0.324215,0.174732,0
0_106,827,0.0806289,-0.240458,0.11856,66.6801,-198.859,98.049,0.154253,0.331771,0.22431,1
0_107,0,0,0,0,0,0,0,0,0,0,0
0_108,1172,0.117924,-0.210319,0.0714514,138.207,-246.494,83.7411,0.148422,0.288017,0.173395,0
0_109,787,0.0398778,-0.151849,0.112219,31.3838,-119.505,88.316,0.090861,0.224115,0.155341,1
0_110,1113,0.0731507,-0.215175,0.136022,81.4167,-239.49,151.393,0.149978,0.309149,0.215059,1
0_111,723,0.062475,-0.218496,0.101992,45.1694,-157.972,73.7405,0.129704,0.280069,0.167446,1
0_112,0,0,0,0,0,0,0,0,0,0,0
0_113,1168,0.0257895,-0.0714254,0.0912041,30.1222,-83.4248,106.526,0.0604073,0.142432,0.0984523,1
0_114,1148,0.156075,-0.181114,0.0600782,179.174,-207.919,68.9698,0.188276,0.291098,0.155462,0
0_115,1329,0.0544478,-0.128602,0.114031,72.3611,-170.913,151.547,0.110941,0.226694,0.176035,1
0_116,696,0.184988,-0.288417,0.0715775,128.752,-200.738,49.818,0.238153,0.426348,0.248534,0
0_117,0,0,0,0,0,0,0,0,0,0,0
0_118,340,0.0466702,0.000542592,-0.00934171,15.8679,0.184481,-3.17618,0.0425935,0.165702,0.0936998,0
0_119,1095,0.0593886,-0.0860885,0.033463,65.0305,-94.2669,36.6419,0.0836304,0.17263,0.0983058,0
0_120,0,0,0,0,0,0,0,0,0,0,0
0_121,969,0.0889928,-0.234185,0.106758,86.234,-226.925,103.448,0.160987,0.301401,0.206646,0
0_122,0,0,0,0,0,0,0,0,0,0,0
0_123,632,0.108051,-0.179197,0.0514747,68.2879,-113.252,32.532,0.163389,0.31521,0.169048,0
0_124,1027,0.123735,-0.234681,0.0691093,127.076,-241.018,70.9753,0.153684,0.283281,0.155283,0
0_125,683,0.035057,-0.0738224,0.0962151,23.9439,-50.4207,65.7149,0.0593831,0.212735,0.125218,1
0_126,33,0.034142,-0.124838,0.0277738,1.12668,-4.11965,0.916536,0.163389,0.274089,0.19548,0
0_127,865,0.113156,-0.156294,0.0601776,97.8799,-135.194,52.0536,0.157128,0.228327,0.116349,0
0_128,49,-0.0364343,-0.0688842,0.0427229,-1.78528,-3.37533,2.09342,0.230851,0.275075,0.251537,0
0_129,718,0.15552,-0.304231,0.0922023,111.663,-218.438,66.2012,0.260847,0.44724,0.27314,0
0_130,930,0.0792154,-0.179657,0.0593729,73.6703,-167.081,55.2168,0.124618,0.243817,0.148489,0
0_131,869,0.151131,-0.207863,0.0535949,131.333,-180.633,46.574,0.214318,0.351354,0.197659,0
0_132,958,0.164586,-0.312189,0.0982283,157.673,-299.077,94.1028,0.234618,0.378763,0.219777,0
0_133,833,0.113934,-0.136543,0.0348103,94.9067,-113.74,28.997,0.110453,0.22584,0.121691,0
0_134,47,-0.0443588,-0.0365629,0.0329514,-2.08487,-1.71845,1.54872,0.262787,0.341433,0.278175,0
0_135,1025,0.0699236,-0.150377,0.103032,71.6717,-154.137,105.607,0.127068,0.251133,0.184529,1
0_136,49,-0.0531281,-0.067546,0.0649405,-2.60328,-3.30975,3.18208,0.266151,0.291261,0.221081,0
0_137,804,0.0732863,-0.156199,0.0494015,58.9222,-125.584,39.7188,0.124076,0.247341,0.130905,0
0_138,0,0,0,0,0,0,0,0,0,0,0
0_139,949,0.10726,-0.124263,0.0358512,101.79,-117.926,34.0227,0.158791,0.27205,0.146925,0
0_140,1268,0.0797262,-0.153958,0.095482,101.093,-195.218,121.071,0.135843,0.250176,0.182208,0
0_141,46,0.0162808,-0.0426736,-0.0239399,0.748918,-1.96298,-1.10124,0.215725,0.307198,0.193866,0
0_142,628,0.0458124,-0.0138101,-0.0144999,28.7702,-8.67273,-9.10592,0.0618187,0.149377,0.0688478,0
0_143,0,0,0,0,0,0,0,0,0,0,0
0_144,1028,0.0654434,-0.174775,0.0997127,67.2758,-179.668,102.505,0.121174,0.251991,0.179525,1
0_145,1039,0.117136,-0.257074,0.10998,121.705,-267.1,114.269,0.204403,0.368453,0.22341,0
0_146,827,0.172672,-0.278163,0.0690322,142.8,-230.041,57.0896,0.196185,0.353086,0.195404,0
0_147,885,0.167193,-0.340682,0.101133,147.966,-301.503,89.5023,0.239034,0.412473,0.24642,0
0_148,594,0.0442513,-0.0480192,0.00328614,26.2853,-28.5234,1.95197,0.0433972,0.146415,0.0719417,0
0_149,52,0.0262829,-0.0367634,-0.0431778,1.36671,-1.9117,-2.24524,0.262623,0.283935,0.274866,0
0_150,798,0.155554,-0.162501,0.0362459,124.132,-129.676,28.9242,0.215206,0.405746,0.223816,0
0_151,669,0.0302588,-0.0553647,0.0626896,20.2431,-37.039,41.9393,0.0673196,0.167619,0.106023,1
0_152,947,0.116956,-0.132065,0.0396073,110.757,-125.066,37.5081,0.153064,0.225047,0.11753,0
0_153,0,0,0,0,0,0,0,0,0,0,0
0_154,1442,0.0563399,-0.122612,0.0826131,81.2422,-176.807,119.128,0.120089,0.253959,0.181214,1
0_155,0,0,0,0,0,0,0,0,0,0,0
