index,area,perimeter,min_xpos,min_ypos,max_xpos,max_ypos,center_x,center_y,integral_CH0,min_CH0,max_CH0,ave_CH0,std_CH0,integral_CH1,min_CH1,max_CH1,ave_CH1,std_CH1,integral_CH2,min_CH2,max_CH2,ave_CH2,std_CH2,integral_CH3,min_CH3,max_CH3,ave_CH3,std_CH3,integral_CH4,min_CH4,max_CH4,ave_CH4,std_CH4,integral_CH1-CH0,min_CH1-CH0,max_CH1-CH0,ave_CH1-CH0,std_CH1-CH0,integral_CH2-CH0,min_CH2-CH0,max_CH2-CH0,ave_CH2-CH0,std_CH2-CH0,integral_CH3-CH0,min_CH3-CH0,max_CH3-CH0,ave_CH3-CH0,std_CH3-CH0,integral_CH4-CH0,min_CH4-CH0,max_CH4-CH0,ave_CH4-CH0,std_CH4-CH0,integral_Est0,min_Est0,max_Est0,ave_Est0,std_Est0,integral_Est1,min_Est1,max_Est1,ave_Est1,std_Est1,id,count,frequency,sort_timestamp,sort,n_sample,n_sort,sort_rate,proc_time,proc_idc,id,abs_time,1st_img,2nd_img,3rd_img,data_ready,proc_begin,proc_time,none,sort,result0,result1,result2,result3,result4
0_10,188,61,48,10,69,27,56,17,3646,0,42,16.8796,11.8077,3040,0,33,14.0741,8.84298,3468,0,35,16.0556,9.24195,4675,0,49,21.6435,12.1254,3716,0,40,17.2037,10.3751,122,0,6,0.564815,1.21162,373,0,10,1.72685,2.65526,1029,0,12,4.76389,3.1143,273,0,6,1.26389,1.88065,64.6409,-0.196653,1,0.299264,0.23186,1.45987,-0.348093,0.357317,0.00675867,0.11795,19985,300000,50000000,3230935257,0,11,0,0.00,3433,--,19985,75487,0,0,0,0,247,3433,,0,148,0.312108,0.0444888,46.192,6.58434
0_11,231,66,50,10,69,29,57,18,4160,0,39,15.8779,10.4279,3591,0,29,13.7061,7.93061,4187,0,32,15.9809,8.37501,5516,0,42,21.0534,10.4872,4363,0,35,16.6527,9.16461,152,0,5,0.580153,1.10829,530,0,9,2.0229,2.58139,1356,0,14,5.17557,3.01898,398,0,6,1.51908,1.84867,93.4065,-0.173694,1,0.356513,0.235119,-2.85851,-0.48491,0.291747,-0.0109104,0.134061,19986,300000,50000000,3231541292,0,12,0,0.00,2336,--,19986,80163,0,0,0,0,227,2336,,0,204,0.336702,0.0597308,68.6873,12.1851
0_12,171,66,51,10,70,29,57,18,3295,0,45,16.393,12.179,2718,0,35,13.5224,9.182,3128,0,38,15.5622,9.69625,4200,0,51,20.8955,12.7554,3329,0,42,16.5622,10.8397,71,0,5,0.353234,0.891978,306,0,8,1.52239,2.32031,905,0,14,4.50249,3.17033,227,0,6,1.12935,1.63092,59.1288,-0.121481,1,0.294173,0.244926,-1.6963,-0.476507,0.325425,-0.00843928,0.122854,19987,300000,50000000,3231896221,0,13,0,0.00,4169,--,19987,92263,0,0,0,0,249,4169,,0,173,0.29606,0.051311,51.2184,8.87681
0_13,188,66,51,10,70,29,58,17,3595,0,43,16.4908,11.7513,2991,0,34,13.7202,8.67928,3468,0,37,15.9083,9.19517,4675,0,50,21.445,12.1866,3680,0,41,16.8807,10.2927,110,0,4,0.504587,1.0193,388,0,9,1.77982,2.56425,1080,0,15,4.95413,3.20803,281,0,6,1.28899,1.79294,61.3042,-0.179108,1,0.281212,0.231821,-0.996696,-0.500588,0.310842,-0.004572,0.120056,19988,250001,50000000,3231936771,0,14,0,0.00,2789,--,19988,99357,0,0,0,0,213,2789,,0,188,0.294019,0.0452682,55.2756,8.51042
0_14,172,59,53,11,71,29,59,19,3280,0,47,16.4824,12.8758,2789,0,37,14.0151,10.1037,3210,0,40,16.1307,10.8745,4225,0,54,21.2312,14.1931,3373,0,44,16.9497,11.9218,80,0,6,0.40201,0.95591,327,0,8,1.64322,2.2614,945,0,14,4.74874,3.42283,243,0,6,1.22111,1.65986,55.629,-0.170771,1,0.279542,0.243873,-3.51532,-0.406455,0.371907,-0.0176649,0.109194,19993,300000,50000000,3232531792,0,15,0,0.00,2894,--,19993,111424,0,0,0,0,297,2894,,0,144,0.208524,0.0396462,30.0274,5.70906
0_15,438,138,53,7,98,30,73,17,7536,0,36,15.072,11.1018,6179,0,30,12.358,8.80919,6961,0,32,13.922,9.5806,9322,0,41,18.644,12.1631,7479,0,34,14.958,10.3404,97,0,5,0.194,0.690191,393,0,9,0.786,1.82214,1786,0,12,3.572,2.83422,315,0,6,0.63,1.29503,125.202,-0.165108,1,0.250405,0.228513,-1.526,-0.502274,0.469508,-0.003052,0.10848,19996,260564,50000000,3233109455,0,16,0,0.00,2935,--,19996,118851,0,0,0,0,268,2935,,0,478,0.310188,0.0597386,148.27,28.555
0_16,175,59,53,13,72,29,60,19,3177,0,48,15.6502,12.5365,2699,0,37,13.2956,9.66897,3065,0,41,15.0985,10.4571,4108,0,53,20.2365,13.8013,3250,0,44,16.0099,11.4621,108,0,6,0.53202,1.14587,328,0,10,1.61576,2.31085,931,0,15,4.58621,3.26742,254,0,7,1.25123,1.66415,46.5967,-0.156792,1,0.229541,0.215903,-0.0895739,-0.444272,0.364231,-0.000441251,0.100185,19998,300000,50000000,3233226931,0,17,0,0.00,2934,--,19998,123664,0,0,0,0,239,2934,,0,172,0.264983,0.0481924,45.577,8.2891
0_17,177,63,53,10,72,29,60,18,3380,0,42,16.4078,11.5102,2828,0,33,13.7282,8.65374,3245,0,38,15.7524,9.13023,4374,0,48,21.233,11.7888,3453,0,40,16.7621,10.2026,89,0,4,0.432039,0.956705,322,0,8,1.56311,2.33242,995,0,12,4.8301,2.89379,236,0,5,1.14563,1.57596,70.7256,-0.0814355,1,0.343328,0.246493,-6.35186,-0.412765,0.238875,-0.0308343,0.126486,20000,295805,50000000,3233888934,0,18,0,0.00,2992,--,20000,129713,0,0,0,0,216,2992,,0,150,0.291389,0.0463633,43.7084,6.95449
0_18,200,68,53,10,73,29,61,17,3862,0,43,16.7186,11.7813,3227,0,32,13.9697,8.51756,3699,0,37,16.013,9.08473,4956,0,49,21.4545,11.8452,3933,0,40,17.026,10.1993,133,0,5,0.575758,1.08197,414,0,9,1.79221,2.63183,1095,0,14,4.74026,3.08215,302,0,6,1.30736,1.78883,68.4292,-0.218541,1,0.29623,0.247494,2.49682,-0.472717,0.358788,0.0108088,0.130837,20001,300000,50000000,3234025287,0,19,0,0.00,3092,--,20001,139204,0,0,0,0,278,3092,,0,181,0.320184,0.0527951,57.9533,9.55592
0_19,227,66,54,8,73,28,61,18,4023,0,37,15.5328,10.658,3483,0,30,13.4479,8.03228,4096,0,34,15.8147,8.63572,5413,0,44,20.8996,10.9843,4254,0,35,16.4247,9.45162,130,0,6,0.501931,1.08828,533,0,10,2.05792,2.63195,1390,0,11,5.3668,3.15381,403,0,6,1.55598,1.7836,102.027,-0.21903,1,0.393929,0.261532,-9.09669,-0.44896,0.570115,-0.0351224,0.161357,20003,250001,50000000,3234457067,0,20,0,0.00,2916,--,20003,149243,0,0,0,0,299,2916,,0,171,0.277435,0.0389299,47.4414,6.65701
