45131,300000,50000000,4224120516,0,1,0,0.00,4930,---
45140,300000,50000000,139075593,0,2,0,0.00,1436,---
45142,300000,50000000,149207052,0,3,0,0.00,3883,---
45145,300000,50000000,174974741,0,4,0,0.00,4817,---
45153,300000,50000000,330834578,0,5,0,0.00,3645,---
45158,300000,50000000,424817775,0,6,0,0.00,4851,---
45159,300000,50000000,426671884,0,7,0,0.00,4850,---
45172,300000,50000000,601298009,0,8,0,0.00,1271,---
45175,300000,50000000,623749602,0,9,0,0.00,4842,---
45176,300000,50000000,624236865,0,10,0,0.00,4818,---
45180,300000,50000000,647731919,0,11,0,0.00,4845,---
45182,300000,50000000,660891833,0,12,0,0.00,4807,---
45186,300000,50000000,705152030,0,13,0,0.00,4845,---
45188,300000,50000000,721163671,0,14,0,0.00,4827,---
45190,300000,50000000,729834178,0,15,0,0.00,4907,---
45192,300000,50000000,741966241,0,16,0,0.00,4841,---
45197,300000,50000000,799184770,0,17,0,0.00,4822,---
45198,300000,50000000,799626847,0,18,0,0.00,4844,---
45199,300000,50000000,800181002,0,19,0,0.00,4815,---
45200,300000,50000000,800767646,0,20,0,0.00,969,---
45201,300000,50000000,803295966,0,21,0,0.00,1039,---
45203,300000,50000000,821052161,0,22,0,0.00,4854,---
45204,300000,50000000,823380923,0,23,0,0.00,4787,---
45206,300000,50000000,866677941,0,24,0,0.00,4834,---
45207,300000,50000000,868180351,0,25,0,0.00,4813,---
45209,300000,50000000,882973040,0,26,0,0.00,4849,---
45212,300000,50000000,937477599,0,27,0,0.00,4852,---
45213,300000,50000000,939464468,0,28,0,0.00,4789,---
45214,300000,50000000,943984973,0,29,0,0.00,1253,---
45217,300000,50000000,960862168,0,30,0,0.00,908,---
45220,300000,50000000,997935579,0,31,0,0.00,4868,---
45223,300000,50000000,1022057461,0,32,0,0.00,4826,---
45224,300000,50000000,1023659544,0,33,0,0.00,4810,---
45227,300000,50000000,1040040378,0,34,0,0.00,4851,---
45228,300000,50000000,1043449154,0,35,0,0.00,1861,---
45230,300000,50000000,1072253743,0,36,0,0.00,4844,---
45231,300000,50000000,1073189824,0,37,0,0.00,4821,---
45232,300000,50000000,1078355924,0,38,0,0.00,4839,---
45233,300000,50000000,1081662683,0,39,0,0.00,4806,---
45234,300000,50000000,1082559768,0,40,0,0.00,4790,---
