index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_58,259,0.0373605,0.0258037,0,9.67637,6.68317,0,0.0847523,0.0319965,0,0
0_59,1068,0.00221281,0.0142909,0,2.36329,15.2627,0,0.0846586,0.0312745,0,0
0_60,0,0,0,0,0,0,0,0,0,0,0
0_61,212,0.000871515,0.0188116,0,0.184761,3.98806,0,0.0823456,0.0303659,0,0
0_62,523,0.00866843,0.0312234,0,4.53359,16.3298,0,0.0899103,0.0320057,0,0
0_63,192,0.0159888,0.022728,0,3.06984,4.36378,0,0.0772799,0.0255817,0,0
0_64,70,0.000116563,0.016331,0,0.00815944,1.14317,0,0.0814583,0.0269162,0,0
0_65,993,0.0106442,0.0102167,0,10.5697,10.1452,0,0.105302,0.0308292,0,0
0_66,0,0,0,0,0,0,0,0,0,0,0
0_67,910,0.0209672,0.0154275,0,19.0802,14.039,0,0.0952188,0.034432,0,0
0_68,120,0.00349975,0.0157382,0,0.41997,1.88858,0,0.0769221,0.0287158,0,0
0_69,0,0,0,0,0,0,0,0,0,0,0
0_70,325,0.0475487,0.0151211,0,15.4533,4.91435,0,0.0953567,0.0322549,0,0
0_71,321,0.0159825,0.0257291,0,5.13038,8.25904,0,0.0781219,0.0267264,0,0
0_72,352,0.0112547,0.013754,0,3.96165,4.84142,0,0.075713,0.0245282,0,0
0_73,290,0.0074287,0.0199863,0,2.15432,5.79604,0,0.0814206,0.0264219,0,0
0_74,56,-0.00247224,0.0210827,0,-0.138445,1.18063,0,0.0782782,0.0293577,0,0
0_75,55,0.00939983,0.00116941,0,0.516991,0.0643178,0,0.0856265,0.0270324,0,0
0_76,312,0.0252667,0.0291203,0,7.88321,9.08553,0,0.0939194,0.0328927,0,0
0_77,328,0.0307338,0.0204234,0,10.0807,6.69889,0,0.0954938,0.0343789,0,0
0_78,324,0.0425573,0.00742299,0,13.7886,2.40505,0,0.110541,0.0373246,0,0
0_79,68,-0.0064999,0.00181811,0,-0.441993,0.123631,0,0.0787541,0.0286645,0,0
0_80,746,-0.00486468,0.0257015,0,-3.62905,19.1733,0,0.0878933,0.0352386,0,0
0_81,580,0.0321476,0.0171625,0,18.6456,9.95425,0,0.089474,0.0290827,0,0
0_82,196,0.00281416,0.0231878,0,0.551576,4.54481,0,0.0833211,0.0284276,0,0
0_83,143,0.0307389,0.0303544,0,4.39566,4.34068,0,0.0835912,0.0302713,0,0
0_84,295,0.013899,0.0186138,0,4.10021,5.49106,0,0.0804899,0.0266064,0,0
0_85,77,0.0262609,0.0176625,0,2.02209,1.36001,0,0.0807502,0.0291165,0,0
0_86,446,0.00637304,0.0320565,0,2.84238,14.2972,0,0.0972212,0.0323459,0,0
0_87,89,0.0085321,0.0138549,0,0.759357,1.23309,0,0.0841805,0.025629,0,0
0_88,289,0.0209368,0.0285194,0,6.05073,8.24211,0,0.0899714,0.0285095,0,0
0_89,292,-0.00687154,0.0148621,0,-2.00649,4.33973,0,0.0847837,0.0272877,0,0
0_90,29,0.0398461,0.0198095,0,1.15554,0.574474,0,0.087207,0.0295319,0,0
0_91,351,0.0174527,0.0258027,0,6.12589,9.05675,0,0.0824597,0.0271412,0,0
0_92,212,0.015589,0.0247133,0,3.30487,5.23921,0,0.0935453,0.0291165,0,0
0_93,246,0.024379,0.0121093,0,5.99724,2.9789,0,0.0855039,0.0282153,0,0
0_94,0,0,0,0,0,0,0,0,0,0,0
0_95,407,0.00517677,0.0252976,0,2.10694,10.2961,0,0.0806301,0.02589,0,0
0_96,761,0.013729,0.0238843,0,10.4478,18.176,0,0.095956,0.0315808,0,0
0_97,28,-0.0202857,0.0189958,0,-0.568,0.531883,0,0.0713468,0.0270833,0,0
0_98,725,-0.00590836,0.0252609,0,-4.28356,18.3142,0,0.0886266,0.0291659,0,0
0_99,355,-0.0119973,0.0310581,0,-4.25906,11.0256,0,0.101376,0.0298259,0,0
0_100,345,0.0178717,0.0241982,0,6.16575,8.34838,0,0.082639,0.0256352,0,0
0_101,508,0.000754799,0.0145695,0,0.383438,7.4013,0,0.0967128,0.0305643,0,0
0_102,990,0.0221004,0.0171164,0,21.8794,16.9453,0,0.0941879,0.0277554,0,0
0_103,337,0.0753224,0.0102674,0,25.3836,3.46013,0,0.151342,0.0462854,0,0
0_104,1063,0.00472782,0.0171518,0,5.02567,18.2324,0,0.0868603,0.0303233,0,0
0_105,124,0.063279,0.0250213,0,7.8466,3.10265,0,0.0856359,0.0280471,0,0
0_106,207,0.0373473,0.0168038,0,7.7309,3.47839,0,0.0871008,0.0262485,0,0
0_107,261,-0.00748598,0.0108219,0,-1.95384,2.8245,0,0.0842458,0.0280816,0,0
0_108,633,0.0115666,0.0268166,0,7.32166,16.9749,0,0.0828842,0.0308079,0,0
0_109,517,0.0307675,0.0155006,0,15.9068,8.01382,0,0.0801864,0.0264266,0,0
0_110,306,0.0260445,0.0146905,0,7.96963,4.4953,0,0.0868232,0.0272289,0,0
0_111,182,0.0143272,0.0167469,0,2.60756,3.04794,0,0.0803007,0.0272304,0,0
0_112,623,0.053669,0.0127344,0,33.4358,7.9335,0,0.144632,0.0410615,0,1
0_113,770,0.0120998,0.0206652,0,9.31683,15.9122,0,0.0946188,0.0264505,0,0
0_114,406,0.00761665,0.0217293,0,3.09236,8.82211,0,0.085416,0.0278637,0,0
0_115,715,0.00300292,0.0263662,0,2.14709,18.8518,0,0.0799072,0.0284006,0,0
0_116,812,0.0239068,0.0226872,0,19.4124,18.422,0,0.0946683,0.0326202,0,0
0_117,303,0.0301345,0.0178454,0,9.13076,5.40717,0,0.0828779,0.0274562,0,0
0_118,347,0.0165497,0.0195408,0,5.74273,6.78067,0,0.0810761,0.0269245,0,0
0_119,608,0.00353026,0.0119712,0,2.1464,7.27851,0,0.0910882,0.0295155,0,0
0_120,659,-0.00281934,0.0237629,0,-1.85794,15.6598,0,0.0880512,0.0294047,0,0
0_121,39,0.0585901,0.0259232,0,2.28502,1.011,0,0.0886016,0.0284427,0,0
0_122,272,0.0197363,0.0136578,0,5.36827,3.71493,0,0.077252,0.0287512,0,0
