41924,300000,50000000,3812660905,1,1,1,100.00,3803,---
41928,300000,50000000,3815961856,0,2,1,50.00,3428,---
41929,300000,50000000,3815995157,0,3,1,33.33,3571,---
41934,300000,50000000,3857763815,0,4,1,25.00,3977,---
41938,300000,50000000,3914444289,0,5,1,20.00,3739,---
41943,300000,50000000,3949005731,0,6,1,16.67,3654,---
41949,300000,50000000,3960340480,1,7,2,28.57,3630,---
41953,300000,50000000,3966200758,0,8,2,25.00,5182,---
41957,300000,50000000,3978462402,0,9,2,22.22,3688,---
41963,300000,50000000,4034808769,0,10,2,20.00,3865,---
41968,300000,50000000,4037211859,1,11,3,27.27,3632,---
41973,300000,50000000,4047746781,0,12,3,25.00,3822,---
41977,300000,50000000,4052458491,0,13,3,23.08,3575,---
41978,300000,50000000,4052491792,0,14,3,21.43,4005,---
41983,300000,50000000,4057682820,0,15,3,20.00,3599,---
41988,300000,50000000,4070564225,1,16,4,25.00,3655,---
41993,300000,50000000,4085750844,1,17,5,29.41,4507,---
41997,300000,50000000,4102938708,0,18,5,27.78,3605,---
42001,300000,50000000,4107433279,0,19,5,26.32,3936,---
42006,300000,50000000,4108403563,0,20,5,25.00,3833,---
42011,300000,50000000,4132087518,1,21,6,28.57,4983,---
42014,300000,50000000,4138549490,0,22,6,27.27,3659,---
42019,300000,50000000,4158189930,0,23,6,26.09,3476,---
42024,300000,50000000,4161786103,0,24,6,25.00,4004,---
42029,300000,50000000,4166180570,0,25,6,24.00,4052,---
42035,300000,50000000,4167095201,0,26,6,23.08,3599,---
42038,300000,50000000,4178414435,0,27,6,22.22,3914,---
42043,300000,50000000,4187839499,0,28,6,21.43,4032,---
42053,300000,50000000,4189861740,0,29,6,20.69,3885,---
42058,300000,50000000,4198651593,0,30,6,20.00,3557,---
42063,300000,50000000,4200641125,0,31,6,19.35,3837,---
42067,300000,50000000,4214627068,0,32,6,18.75,4038,---
42072,300000,50000000,4222897129,1,33,7,21.21,3897,---
42076,300000,50000000,4228063813,0,34,7,20.59,1701,---
42077,300000,50000000,4228097116,0,35,7,20.00,3615,---
42081,300000,50000000,4232610169,1,36,8,22.22,4013,---
42084,300000,50000000,4236920696,1,37,9,24.32,3791,---
